item_code,food_name_english,food_name_hindi,food_type,food_category,slots,calories,carbs,fat,protein,fiber,food_season,Score,Special_slot,food_community,food_avoid_in_disorders,food_recommend_in_disorders,remarks,Detox_rank,Special_diet,code,remarks,courtesy,recipe,steps,video,gluten_free,source,portion,portion_unit,country,Diabetes_score,Diabetes_special,blood_pressure_Score,blood_pressure_special,Cholestrol_score,Cholestrol_special,PCOS_score,PCOS_special,net_carbs,WeightlossPlus_score,WeightlossPlus_special,muscle_building_score,special_slot_muscle_building_morning,special_slot_muscle_building_evening,Keto_Score,Keto_Slot,Hypothyroid_Score,Hypothyroid_Slot,Anti_Inflammatory_Score,Anti_Inflammatory_Slot,Fatty_Liver_Score,Fatty_Liver_Slot,Anemia_Score,Acidity_Score,Sleep_Score,Uric_Acid_Score,Calcium,Vitamin_D,Vitamin_B12_Score,Alkaline_Score,Alkaline_Slot,Prediabetes_Score,Prediabetes_Slot,High_Protein_Score,High_Protein_Slot,T1_Pregnancy_score,T1_Pregnancy_slot,T2_Pregnancy_score,T2_Pregnancy_slot,T3_Pregnancy_score,T3_Pregnancy_slot,Postpartum_score,Postpartum_slot,0-6_Lactation_score,0-6_Lactation_slot,7-12_Lactation_score,7-12_Lactation_slot,waterRetentionScore,waterRetentionSlot,fiteloWeightLoss_Score,fiteloWeightLossSlot,lunchCheatDayRank,lunchCheatDaySlot,dinnerCheatDayRank,dinnerCheatDaySlot,cookingProficiency,cookingTime,detoxFiteloRank,detoxFiteloSlot,travel_rank,travel_slot
256,Khandvi,खंडवी,Ve,W,"[2,6]",30,2.7,1.6,1.3,0.5,"[""""]",6,3,"[""G""]","[""""]","[""A"",""D""]",-,-1,-1,256,,Dr Snehal Adsule,As per video,As per video,https://www.youtube.com/embed/-jrSNmuNXvw,,,5,pc,"[""IND""]",9,6,6,3,6,3,6,6,2.2,9,6,3,-1,-1,-1,-1,6,6,9,6,9,6,6,9,6,9,9,9,9,3,-1,6,6,3,-1,9,6,9,6,9,-1,9,6,9,6,9,6,6,3,6,3,3,-1,3,-1,6,6,-1,-1,6,2
259,Idada,इदादा,Ve,W,"[2,6,7]",40,7.9,0.3,1.3,0.4,"[""""]",6,3,"[""G""]","[""UA""]","[""A""]",-,-1,-1,259,,by sanjeev kapoor khazana," 1 cup rice
 ¼ cup split skinless black gram (dhuli urad dal)
 ¼ cup sour yogurt 
Salt to taste 
1 inch ginger, roughly chopped
 2-3 green chillies, finely chopped
 ½ teaspoon baking soda 
1 tablespoon lemon juice
 2 tablespoons oil + for greasing 
Chopped fresh coriander leaves for garnishing Tempering 
1 tablespoon oil 
1 teaspoon mustard seeds 
2 green chillies, slit 
10-12 curry leaves 
½ teaspoon asafoetida (hing)
","1 cup rice
 ¼ cup split skinless black gram (dhuli urad dal)
 ¼ cup sour yogurt 
Salt to taste 
1 inch ginger, roughly chopped
 2-3 green chillies, finely chopped
 ½ teaspoon baking soda 
1 tablespoon lemon juice
 2 tablespoons oil + for greasing 
Chopped fresh coriander leaves for garnishing Tempering 
1 tablespoon oil 
1 teaspoon mustard seeds 
2 green chillies, slit 
10-12 curry leaves 
½ teaspoon asafoetida (hing)
",https://www.youtube.com/embed/aEnPuGUMeZk,,,2,pc,"[""IND""]",6,6,6,3,6,3,6,6,7.5,6,6,9,3,3,-1,-1,6,6,6,6,6,6,6,9,6,9,9,9,9,3,-1,6,6,9,3,9,6,9,6,9,6,9,6,9,6,9,6,6,3,6,3,9,3,9,3,6,6,-1,-1,-1,-1
261,Patra/ Colocassia Leaves Rolls,पटरा/ अरबी के पत्ते के रोल,Ve,W,"[2,6,7]",49,4.9,2.6,1.6,1.4,"[""""]",6,3,"[""G""]","[""""]","[""A""]",-,-1,-1,261,,by sanjeev kapoor khazana,"8-10 Colocassia leaves (arbi ke patte), trimmed and washed 
1½ cups gram flour (besan) 
1 tbsp grated jiggery
 1 tbsp tamarind pulp 
1 tsp ginger paste 
1 tsp green chilli paste
 ¼ tsp garam masala powder 
1 tsp cumin powder
 1 tsp coriander powder
 ½ tsp turmeric powder
 1 tsp red chilli powder
 Salt to taste 
1 tbsp oil
 1 tsp mustard seeds 
1 tsp sesame seeds
 A pinch of asafoetida
 2 tbsps chopped fresh coriander
 2 tsps grated fresh coconut
","1. Take gram flour in a bowl. Add jaggery, tamarind pulp, ginger paste, green chilli paste, garam masala powder, cumin powder, coriander powder, turmeric powder, red chilli powder and salt. Add sufficient water and mix well to make a smooth paste.
 2. Place a leaf on the worktop, shiny side facing downwards. Apply the paste evenly all over. Place another leaf over it but with its tapering end in the opposite direction of the first one. Apply paste over this. 
3. Fold in the four edges and gently roll into a cylinder. Apply paste to seal whenever required 
4. Heat water in a steamer. Place the rolls in a steamer container. Close the lid and steam for 10-15 minutes. Allow to cool.
 5. Cut into half inch thick slices. Heat oil in a kadai, add mustard seeds. When they crackle, add sesame seeds and asafoetida. And the patra slices and toss.
 6. Garnish coriander leaves and fresh coconut and serve hot.
",https://www.youtube.com/embed/k8TGH1Rqn2A,,,5,pc,"[""IND""]",6,6,6,3,6,3,6,6,3.5,-1,-1,6,-1,-1,-1,-1,6,6,9,6,9,6,9,9,6,9,9,9,9,9,-1,6,6,6,-1,6,6,6,6,6,-1,6,-1,6,6,6,6,6,3,6,3,6,-1,6,-1,9,9,-1,-1,6,2
266,Mamra Pulao,ममरा पुलाओ,Ve,W,"[4,7,2]",141,21.9,4.8,3.6,3.1,"[""""]",6,6,"[""G""]","[""N""]","[""""]",-,-1,-1,266,,by sanjeev kapoor khazana,"3 cups puffed rice (kurmura)
 2 tbsps oil 
1 tsp mustard seeds
 ¼ cup roasted peanuts 
1 medium onion, finely chopped
 10-12 curry leaves
 ¼ cup grated carrot
 1 medium green capsicum, finely chopped
 2-3 green chillies
 1 tbsp rasam powder
 Salt to taste
 ½ lemon
","1. Place a strainer over a bowl, put the puffed rice into the strainer and pour over it so they become moist. 
2. Heat oil in a non-stick pan, add mustard seeds and let them splutter. Add peanuts and onion and sauté till the onion turns translucent. Add curry leaves and carrot and mix well. Add capsicum and mix well. 
3. Finely chop green chillies and add. Add rasam powder and mix well. Add puffed rice and mix well. Add salt and mix well. Squeeze the juice of ½ lemon and add and mix well. Simmer for 1-2 minutes. 
4. Transfer onto a serving plate and serve hot.
",https://www.youtube.com/embed/jB2Jpyqtw9Y,,,1,Katori- 150ml,"[""IND""]",1,-1,6,6,6,6,1,-1,18.8,1,-1,3,-1,-1,-1,-1,6,6,6,-1,6,-1,6,9,6,9,9,9,9,3,-1,1,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,6,6,6,6,3,-1,3,-1,3,3,-1,-1,-1,-1
271,Kachumbar/ Cucumber Tomato Onion Salad,कचुम्बर/ ककड़ी टमाटर प्याज सलाद,Ve,S,"[4,7]",88,6.8,5.8,2.3,4.7,"[""""]",9,-1,"[""G""]","[""UA""]","[""B"",""C"",""T"",""P"",""D"",""S"",""A""]",-,-1,-1,271,,by Rajshri Food,"Ingredients:
2 Large Cucumbers 
1 medium Onion 
1 package of Cherry Tomatoes 
3 Tablespoons of White Vinegar 
1 or 2 Tablespoons of Olive Oil 
Salt and Pepper to taste ","- Mix onions, carrots, tomato, cucumber in bowl
- Add Vinegar, Olive oil and Salt and Pepper accordingly
- Toss everything well and it is ready to be served.",https://www.youtube.com/embed/-3y_ex0r3fQ,,,1,quarter plate,"[""IND""]",9,4,9,-1,9,-1,9,-1,2.1,9,4,9,4,4,9,7,9,-1,9,7,9,7,6,9,9,9,9,9,9,9,4,9,-1,9,4,9,7,9,7,9,7,9,7,9,7,9,7,6,-1,9,-1,9,4,9,4,1,3,-1,-1,9,4
274,Kathol Chana/ Mix Chana,कैथोल चना/ मिक्स चना,Ve,A,"[4,7]",125,22,1.8,5.9,8,"[""""]",9,-1,"[""G"",""A""]","[""""]","[""B"",""D"",""T"",""C"",""P"",""S""]",-,-1,-1,274,,by kanan patel,"Pressure cooking the beans:
▢¼ cup Dry Kala chana (black chickpeas or desi chana)
▢¼ cup Dried white chickpeas (Chole or kabuli chana or safed chana)
▢¼ cup Rajma (Red kidney beans)
▢¼ cup Whole urad dal
▢2 cups Water for pressure cooking
Making mixed kathol recipe:
▢1-2 tablespoons Ghee (clarified butter) or Oil
▢½ teaspoon Mustard seeds
▢1 teaspoon Cumin seeds
▢1 Green chilies finely chopped
▢2 medium or 1 ¼ cups Tomato finely chopped
▢Salt to taste
▢¼ teaspoon Turmeric powder
▢1 ½ teaspoons Red chili powder
▢2 teaspoons Cumin-coriander powder
▢2 teaspoons Lemon juice
▢2 tablespoons Cilantro or coriander leaves finely chopped","Soaking and pressure cooking beans:
Take all the beans and wash them under running cold water till water runs clear.
Soak them in enough water for 8 hours or overnight.
After the soaking time they have got bigger in size. Drain and discard the soaking water.
Take the beans into pressure cooker add fresh 2 cups of water.
Cover the cooker with lid, put the weight on.
Cook it for 2 whistles on high, then lower the heat and cook for 20 minutes. Then turn off the stove.
Let the pressure go down by itself and open the lid. They should be soft and cooked perfectly.
Making jain mixed kathol recipe:
Heat the oil or ghee in a pan on medium heat.
Once hot add mustard seeds and let them pop.
Then add cumin seeds and let them sizzle.
Now add chopped green chilies and cook for 30 seconds.
Add chopped tomatoes. Sprinkle the salt and mix.
Cook till tomatoes are soft and mushy. Mash them using back of the spoon/spatula slightly.
Now add turmeric powder, red chili powder and cumin-coriander powder.
Mix well and cook for 1 minute.
Now add cooked beans with its water.
Mix well. If needed, you can add extra water to make liking consistency.
Let it simmer for 4-5 minutes on low.
Now add lemon juice and mix.
Lastly add chopped coriander leaves. Mix well.
Turn off the stove.",-,,,1,Katori- 150ml,"[""IND""]",9,-1,9,-1,9,-1,9,7,14,-1,-1,9,7,7,-1,-1,9,-1,9,7,9,7,9,6,9,9,9,9,9,3,-1,9,7,9,7,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,-1,-1,9,7,9,7,9,-1,6,6,-1,-1,-1,-1
275,Kathol Math/ Moth Beans,कैथोल मैथ/ मोथ बीन्स,Ve,A,"[4,7]",142,12.3,8.03,4.7,4.4,"[""""]",9,-1,"[""G"",""A""]","[""UA""]","[""B"",""D"",""T"",""C"",""P"",""S"",""HP""]",-,-1,-1,275,,,as per video,as per video,https://www.youtube.com/embed/NaOQ6q5Djpg,,,1,Katori- 150ml,"[""IND""]",9,-1,9,-1,9,-1,9,-1,7.9,9,-1,9,7,7,-1,-1,9,-1,9,7,9,7,9,6,9,9,9,9,9,3,-1,9,-1,9,7,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,-1,-1,9,7,9,7,9,-1,6,6,-1,-1,-1,-1
282,Tomato Soup,टमाटर का सूप,Ve,SO,"[3,4,6,7]",48,6.4,2.08,1.2,1.84,"[""""]",9,6,"[""U""]","[""UA""]","[""B"",""C"",""T"",""P"",""D"",""S""]",-,9,6,282,,by  Skinny Recipes,"1/2 inch ginger
3 cloves of garlic
Shallots: 5-6
coriander stalks: 4-5
1 green chilli (divided)
1/2 carrot
3 tomatoes
1 tsp pink himalayan salt or as needed
a small piece of cinnamon
1/8 tsp turmeric powder
1/4 tsp black pepper powder (adjust to suit your taste)
chopped coriander leaves
2 tsp arrowroot powder
1 tbsp ACV
A sprig of tulsi leaves to garnish each bowl of soup.",As per video,https://www.youtube.com/embed/ENeVEF8BFAs,,,1,Bowl- 200ml,"[""IND""]",9,6,9,6,9,6,9,6,5.7,9,6,6,6,-1,6,4,9,6,9,6,9,6,9,9,9,9,9,9,9,6,6,9,6,6,-1,6,6,6,-1,6,-1,6,6,9,6,9,6,9,6,9,-1,6,-1,6,-1,3,6,9,6,6,6
283,Palak Soup/ Spinach Soup,पालक सूप,Ve,SO,"[3,4,6,7]",44.8,7.12,1.36,1.2,1.92,"[""""]",9,-1,"[""U""]","[""""]","[""B"",""C"",""T"",""P"",""D"",""S"",""IR""]",-,9,6,283,,by Shilpa Shetty Kundra,As per video,As per video,https://www.youtube.com/embed/xjLATe_PHeQ,,,1,Bowl- 200ml,"[""IND""]",9,6,9,-1,9,-1,9,6,6.5,9,6,6,6,-1,9,4,9,6,9,6,9,6,9,9,9,9,9,9,9,9,6,9,6,6,6,6,6,6,-1,6,-1,6,6,9,-1,9,-1,9,6,9,6,6,-1,6,-1,3,6,9,6,-1,6
287,Rosted Jowar,रोस्टेड जोवर,Ve,W,"[3,6]",72,15,0.4,2.2,2,"[""""]",9,3,"[""G"",""P""]","[""""]","[""""]",-,-1,-1,287,,Indian Curry Trail,"1/4 tsp turmeric powder
1/4 tsp black pepper powder
1/4 tsp cumin powder
1/4 tsp dry mango powder
1/4 tsp chaat masala
1/2 tsp kashmiri red chilli powder
2 cups sorghum puffs
1 and 1/2 tsp ghee or as needed",As per video,https://www.youtube.com/embed/uiwOTSAmmMY,,,1,Katori- 150ml,"[""IND""]",9,3,9,3,9,3,9,3,13,9,6,6,-1,-1,-1,-1,9,3,9,3,9,3,9,9,9,9,9,9,9,3,-1,9,3,6,-1,6,6,6,6,6,6,6,6,6,6,6,6,9,3,9,3,6,-1,6,-1,1,1,-1,-1,-1,-1
296,Dal Dhokli,दाल ढोकली,Ve,C,"[4,7]",172,24.4,5.4,7,4.3,"[""""]",6,7,"[""G""]","[""G"",""UA"",""N""]","[""""]",-,-1,-1,296,,by Tarla dalal,"5 cups roughly chopped tomatoes
 1/4 cup yellow moong dal (split yellow gram), washed and drained
 1 tsp low-fat butter
 1/2 cup finely chopped onions 
2 tsp sugar
 1/2 cup low-fat milk (99.7% fat-free) 
salt to taste 
1 tsp freshly ground black pepper (kalimirch) For serving
 Toasted whole wheat bread croutons,

 For the dal 
1 cup toovar (arhar) dal
 Salt to taste 
5 kokum, soaked for 15 minutes and drained
 ½ tbsp lemon juice 
5 tbsp chopped jaggery (gur) 
1 tsp ginger-green chilli (adrak-mirchi) paste
 1 tsp chilli powder
 3 tbsp broken cashews (kaju)
 10 curry leaves (kadi patta)
 ¼ tsp turmeric powder (haldi) 
2 tbsp ghee
 1 tbsp oil
 ¼ tsp cumin seeds (jeera) 
¼ tsp mustard seeds (rai / sarson) 
¼ tsp asafoetida (hing)
 2 round red chillies (boriya mirch)
 1 stick cinnamon (dalchini)
 2 cloves (laung / lavang)

","For the dhoklis 
1. Combine all the ingredients in a deep bowl and knead into a semi-stiff dough using enough water. 
2. Cover the dough with a lid and keep aside for atleast 15 minutes.
 3. Divide the dough into 5 equal portions and roll out each portion into a 200 mm. (8”) diameter thin circle using a little whole wheat flour for rolling. 
4. Heat a non-stick tava (griddle) and cook each chapati lightly from both the sides.
 5. Cool and cut each chapati into diamond or square shapes and keep aside. 
For the dal
 1. Clean, wash and drain the dal. 
2. Combine the dal and 2 cups of hot water in a pressure cooker and pressure cook for 3 whistles. 
3. Allow the steam to escape before opening the lid.
 4. Combine the cooked dal and 1 cup of hot water in a deep non-stick pan and blend it well using a hand blender till smooth. 
5. Add more 2½ cups of hot water and mix very well.
 6. Place the deep non-stick pan on the flame , add the salt, kokum, lemon juice, jaggery, ginger-green chilli paste, chilli powder, cashewnuts, curry leaves and turmeric powder, mix well and cook on a medium flame for 10 to 15 minutes, while stirirng occasionally.
 7. Meanwhile, for the tempering, heat the ghee and oil in a small non-stick pan, add the cumin seeds and mustard seeds and allow them to crackle.
 8. When the seeds crackle, add the asafoetida, red chillies, cinnamon, cloves and sauté on a medium flame for 30 seconds. 
9. Add this tempering to the dal, mix well and cook on a medium flame for 2 to 3 minutes, while stirirng occasionally. Keep aside. How to proceed Just before serving, boil the dal, once it starts boiling, add the dhoklis, coriander and ghee, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally. Serve immediately with ghee.
 Handy tips: 1. Add the dhoklis one by one into the dal, otherwise they could coagulate to form one big lump. 2. Add more water if the dal thickens while simmering.
",https://www.youtube.com/embed/9wydRr7FZP8,,,1,Katori- 150ml,"[""IND""]",9,7,9,7,9,7,9,7,20.1,-1,-1,9,7,7,-1,-1,6,7,9,4,9,4,6,6,6,9,9,9,9,1,-1,9,7,9,7,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,6,7,6,7,9,7,9,-1,6,6,-1,-1,-1,-1
300,Panchdal Khichdi,पंचदाल खिचड़ी,Ve,W,"[4,7]",169,29.5,3.7,4.5,0.2,"[""""]",6,-1,"[""P"",""G"",""U""]","[""""]","[""D"",""T"",""P"",""C"",""B"",""A"",""AI""]",-,-1,-1,300,,by Zaika Rasoi,"1. Moong dal ( green gram split ) 
2. Chana dal ( chickpeas split )
3. Sabut Urad dal ( black gram )
4. Masoor dal ( red lentil )
5. Rice 

For tadka ingredients

1. Chooped Onion
2. Chooped tomatoes
3. Green chili
4 cumin seed
5. Fennel seed
6. Turmeric powder
7. Red chili powder
8. Garm masala
9. Vegetable oil
10. Salt according to taste","1. Mix all pulses in the cooker add water and cooked it with two whistle. 

2. Dal is cooked now add chopped onion, tomatoes, soaked Rice spices vegetable oil and mix all the ingredients and cooked it with again two whistles
Healthy and delicious panch dal khichdi Masala Tadka recipe is ready for serve ",https://www.youtube.com/embed/Howrn3h_l0Y,,,1,Katori- 150ml,"[""IND""]",9,-1,9,-1,9,-1,9,7,29.3,-1,-1,3,-1,-1,-1,-1,6,7,9,7,9,7,9,9,6,9,9,9,9,3,-1,9,7,3,-1,3,-1,3,-1,3,7,3,-1,9,7,9,7,-1,-1,6,-1,3,-1,3,-1,3,3,9,-1,-1,-1
301,Steamed Vegetable Rice,उबला हुआ सब्जी के चावल,Ve,B,"[2,7,4]",143,29.8,1.3,3.2,1.3,"[""""]",6,4,"[""U""]","[""D"", ""PD"",""P""]","[""""]",-,-1,-1,301,,Diet Recipes By Dt.Natasha Mohan,As per video,As per video,https://www.youtube.com/embed/ht1iB0xpafo,,,1,Katori- 150ml,"[""IND""]",6,4,6,4,6,4,-1,-1,28.5,-1,-1,3,-1,-1,-1,-1,6,4,9,7,9,7,3,9,6,9,9,9,9,1,-1,-1,-1,3,-1,3,-1,3,-1,3,4,3,-1,3,-1,3,-1,6,-1,6,-1,3,4,3,-1,1,3,-1,-1,-1,-1
302,Ragi Idiyappam,रागी इदियप्पम,Ve,W,"[2,7]",36,7.1,0.5,0.7,1.1,"[""""]",3,-1,"[""S""]","[""""]","[""A"",""CR""]",-,-1,-1,302,,by hebbar's kitchen,"1 cup ragi flour / finger millet flour
▢ ¼ cup rice flour
▢ 1¾ cup water
▢ 1 tsp oil
▢ 1 tsp salt","firstly, in a pan take 1 cup ragi flour and ¼ cup rice flour.
roast on low flame for 5 minutes or until flour turns aromatic.
transfer the roasted flour to the large bowl and keep aside.
in a vessel take 1¾ cup water, 1 tsp oil and 1 tsp salt.
get the water to boil vigorously.
pour the boiling water over the flour and mix with a spoon.
make a moist flour absorbing all the water.
rest for 3 minutes or until the dough cools slightly.
grease hands with oil and knead for 2 minutes.
a non-sticky dough will be formed.
now take small holed noodle mould and fix to the chakli maker.
grease the chakli maker with some oil. this prevents ",https://www.youtube.com/embed/wjeCAQmIkdc,,,2,pc,"[""IND""]",6,-1,6,-1,6,-1,6,2,6,6,2,3,-1,-1,-1,-1,3,-1,6,2,9,-1,3,9,6,9,9,12,9,3,-1,6,2,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,-1,-1,3,-1,3,-1,3,-1,3,3,-1,-1,-1,-1
303,Sprouts Dosa-Medium,स्प्राउट्स डोसा-मध्यम,Ve,W,"[2,7]",87,8.5,4.6,2.3,1.4,"[""""]",9,-1,"[""S"",""U""]","[""UA"",""A""]","[""A"",""B"",""C"",""HP"",""VB""]",-,-1,-1,303,,by Skinny Recipes,"Ingredients: 
2 cups mixed sprouts or you can use only green moong dal sprouts. 
3/4 cup water 
Fresh curry leaves 
1 green chilly 
1/2 tsp jeera 
1/2 tsp turmeric powder 
1/3 tsp black pepper 
A small piece of ginger 
Shallots 
Coriander leaves 
Pink himalayan salt 
1-2 tbsp of sprouted ragi flour",As per video,https://www.youtube.com/embed/sEVrRfQeZt8,,,1,pc,"[""IND""]",6,7,9,7,9,7,6,7,7.1,6,7,6,2,2,-1,-1,9,7,9,7,9,7,9,6,9,9,9,9,9,3,-1,6,7,6,2,6,7,6,7,6,7,6,7,6,7,6,7,9,7,9,7,6,2,6,2,6,6,-1,-1,-1,-1
304,Mixed Millet Pongal,मिश्रित बाजरा पोंगल,Ve,W,"[2,7,4]",132,20.2,3.8,4.3,3.7,"[""""]",9,7,"[""S""]","[""N""]","[""D"",""T"",""P"",""C"",""B""]",-,-1,-1,304,,by Bharadwaj Kitchen,"¾ cup Little Millet
½ cup Moong Dal
2 tbsp Ghee
1 tsp Cumin
¼ tsp Turmeric Powder
6 to 8 Black Pepper
Green Chilli as per taste
1 tsp Ginger grated
10 to 15 Cashews
½ tsp Hing (Asafoetida)
6 to 8 Curry Leaves
Salt as per taste
¼ cup Dry Coconut (Kopra) grated","Firstly take a small bowl and add 3/4 cup little millet. Add water and soak for 30 minutes. Drain off the water.
Heat a pan and add split yellow moong dal. Dry roast the moong dal for 2 to 3 mins.
Turn off the heat and wash the roasted moong dal and keep it aside.
Meanwhile heat a cooker pan and add washed moong dal, little millet. Mix it well.
Now add 3 cups of water and cover the lid. Pressure cook this for 3 whistles.
Once the steam settled down on its own, carefully open the lid and mix again. keep this aside.
Now heat another pan on medium flame and add a tbsp of ghee. Once the ghee is melted up, add cumin,turmeric powder and black pepper.
Similarly add green chilli, grated ginger, cashews. Saute well until it splutters and cashews are golden.
Likewise add curry leaves and hing. saute it for a min.
Then add cooked moong dal & millet mixture. Add required amount of water.
Mix everything well. Now add salt and give a quick mix.
Turn off the heat and add grated dry coconut and ghee. Gently mix once.
Now the tasty, healthy little millet pongal is ready to serve.",https://www.youtube.com/embed/VAqVNAzXXSM,,,1,Katori- 150ml,"[""IND""]",9,7,9,7,9,7,9,7,16.5,6,7,6,2,2,-1,-1,9,7,9,7,9,4,6,9,9,9,9,9,9,3,-1,9,7,6,2,6,7,6,7,6,7,6,7,6,7,6,7,9,7,9,7,6,2,6,2,3,3,-1,-1,-1,-1
305,Foxtail Millet/ Samak Rice Idli,फॉक्सटेल बाजरा/ समक राइस इडली,Ve,W,"[2,4,7]",77,14.4,1.5,1.7,1.8,"[""""]",6,-1,"[""S""]","[""""]","[""B"",""C"",""A"",""D"",""P"",""T"",""CR""]",-,6,-1,305,,by Archana's kitchen,"1 cup Foxtail Millet
1-1/2 cups White Urad Dal (Split)
1 teaspoon Methi Seeds (Fenugreek Seeds)
Salt , to taste ","To begin making the Foxtail Millet Idli Recipe, we will wash and soak the millets in water in a separately bowl and urad dal along with methi seeds with enough water in another bowl overnight or keep soaked for at least 8 hours. Soak each of them separately.

To make the batter, drain the excess water soaked millets and urad dal.

Blend the urad dal along with just enough water to make a thick and very smooth batter.

Transfer the batter to a large bowl in which we will set it aside for fermentation along with ground millet.

Next blend the foxtail millet with just enough water to make a smooth batter.

Add this to the urad dal batter, add 2 teaspoons of salt and stir well to combine.

Ferment the batter for 5 to 6 hours or overnight.

Once the batter is fermented, gently stir and be careful to not release the air pockets.

You can make regular sized idlis or also use the mini idli stand. Grease the idli molds with a little oil and spoon the foxtail millet idli batter into the molds.

Prepare the idli steamer with a little water in the bottom.

Place the filled idli racks in the steamer. Place the steamer on high heat and steam the idli’s for 10 minutes.

After 10 minutes of steaming, turn off the heat. Open the steamer and insert a knife or a pick to test whether the idli's are cooked. If nothing sticks then the idlis are perfectly steamed.

Now you can remove the Foxtail millet idli from the steamer. Have a small bowl filled with water.

Dip a spoon in the water and then scoop the ragi idli out starting from the edges. Dipping the spoon in water helps in the easy removal of idli from the plates.

The wholesome homemade pillow-soft foxtail millet idli is now ready to be served. 

Serve the Foxtail Millet Mini Idli Recipe along with Thakkali Vengayam Sambar, chutney to enjoy your morning breakfast.

For an Indian Diabetic Meal serve this Foxtail Millet Idli Recipe along with Murungakkai Vendhaya Keerai Sambar Recipe and Horsegram Sesame Chutney Recipe for a healthy ",https://www.youtube.com/embed/7Ra2pwdB3MQ,,,4,pc,"[""IND""]",9,-1,9,-1,9,-1,9,-1,12.6,9,-1,6,-1,-1,-1,-1,6,-1,9,-1,9,-1,6,9,6,9,9,9,9,3,-1,9,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,6,-1,-1,-1,-1,-1,6,6,-1,-1,-1,-1
306,Ragi Vermicelli Upma,रागी वर्मिसेली उपमा,Ve,M,"[2,4,7]",156,24.9,4.5,3.7,2.3,"[""""]",6,2,"[""S""]","[""""]","[""A""]",-,-1,-1,306,,by Kabita's Kitchen,"Ingredients: 
Vermicelli or sevai(roasted)-2 cups(200 gm approx.) 
Water-3 cup(750 ml) 
Use 1.5 cup of water for 1 cup of Vermicelli 
Onion(chopped)-2 (medium) 
Tomato(chopped)-2(medium) 
Green peas(fresh/frozen)-1/2 cup 
Green chilli(chopped)-2 
Ginger garlic paste-1 tsp(optional) 
Curry leaves-10 to 12 
Tomato ketchup-2 tbsp 
Cooking oil-4 tbsp 
Asafoetida(hing)-2 pinch 
Mustard seeds-1 tsp 
Turmeric powder-1/3 tsp 
Red chilli powder-1/3 tsp 
Coriander powder-1/3 tsp 
Cumin powder-1/3 tsp 
Salt to taste",As per video,https://www.youtube.com/embed/NBNOwoBrD6s,,,1,Katori- 150ml,"[""IND""]",6,2,6,2,6,2,6,2,22.6,3,-1,3,-1,-1,-1,-1,6,2,9,2,9,2,6,9,6,9,9,12,9,3,-1,6,2,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1,6,2,6,2,3,-1,3,-1,3,3,-1,-1,-1,-1
307,Vegetable Onion Paddu/ Ponganalu/ Punugulu,वनस्पति प्याज पडू/ पोंगनालु/ पुनुलगुलु,Ve,W,"[2,7]",49,4.6,2.9,1.3,1,"[""""]",3,-1,"[""S""]","[""UA""]","[""""]",-,-1,-1,307,,Cooking Show,As per video,As per video,https://www.youtube.com/embed/6zCHYmtQeBA,,,2,pc,"[""IND""]",6,-1,6,-1,6,-1,6,2,3.6,6,2,6,2,2,-1,-1,3,-1,6,-1,6,-1,3,9,6,9,9,9,9,3,-1,6,2,6,2,6,2,6,2,6,-1,6,2,6,2,6,2,-1,-1,3,2,6,2,6,2,3,3,-1,-1,-1,-1
